name,male_percent
Carlton,100
Abel,100
Aurora,0
Tessa,0
Chance,100
Willis,100
Lora,0
Eloise,0
Betsy,0
Ashlyn,0
Shawna,0
Paulette,0
Salvador,100
Rochelle,0
Tommie,69
Nick,100
Edmund,100
Doreen,0
Lincoln,99
Christie,0
Rudy,100
Esmeralda,0
Orlando,100
Celia,0
Patti,0
Adeline,0
Johanna,0
Jasmin,0
Benny,100
Ginger,0
Ashlee,0
Ty,100
Adrianna,0
Braden,100
Emmett,100
Delbert,100
Teri,0
Sawyer,86
Roderick,100
Asher,100
Malachi,100
Jana,0
Malik,100
Forrest,100
Pablo,100
Grady,100
Alexia,0
Alton,100
Mable,0
Braxton,100
Archie,100
Giselle,0
Reese,29
Meagan,0
Corinne,0
Mercedes,0
Mindy,0
Mona,0
Camden,97
Jermaine,100
Ernesto,100
Zane,100
Cassie,0
Dante,100
Jazmin,0
Elisabeth,0
Myron,100
Ernestine,0
Lynette,0
Wilson,100
Easton,100
Laurel,1
Ivy,3
Tyson,100
Leticia,0
Elliott,94
Kasey,22
Julianna,0
Darla,0
Leigh,4
Estelle,0
Sammy,100
Mateo,100
Shari,0
Nadia,0
Allie,2
Clark,100
Ryder,99
Dixie,0
Brock,100
Raven,3
Eliza,0
Tricia,0
London,16
Makenzie,0
Elisa,0
Trisha,0
Ebony,0
Yesenia,0
Mandy,0
Carolina,0
Anastasia,0
Stacie,0
Henrietta,0
Ollie,28
Pete,100
Piper,0
Bentley,96
Nikki,0
Lowell,100
Jayla,0
Ezra,98
Alondra,0
Sylvester,100
Irving,100
Cedric,100
Tami,0
Kristie,0
Kyla,0
Junior,100
Elliot,93
Robbie,48
Jaxson,100
Chandler,82
Jalen,98
Merle,72
Graham,100
Aria,1
Trey,100
Alaina,0
Kimberley,0
Eula,0
Serena,0
Wilbert,100
Weston,100
Sonja,0
Ellis,95
Alissa,0
Margarita,0
Quentin,100
Tucker,100
Marla,0
Olive,0
Lorena,0
Aliyah,0
Jewel,8
Kai,89
Alfonso,100
Kerri,0
Woodrow,100
Fabian,100
Emilio,100
Lucia,0
Gustavo,100
Stefanie,0
Nickolas,100
Griffin,100
Alonzo,100
Saul,100
Mckenna,0
Jazmine,0
Leila,0
Bonita,0
Silas,100
Khloe,0
Jaylen,91
Toby,86
Tammie,0
Madeleine,0
Cheri,0
Lorene,0
Hanna,0
Winifred,0
Myles,100
Carroll,93
Tasha,0
Justine,3
Gregg,100
Delaney,0
Freda,0
August,96
Britney,0
Ron,100
Roosevelt,100
Clarissa,0
Jaiden,79
Laurence,100
Sherman,100
Keegan,96
Sasha,1
Ezekiel,100
Aubree,0
Sherrie,0
Ismael,100
Tori,0
Emerson,49
Bette,0
Ervin,100
Irvin,100
Mariana,0
Demetrius,98
Katharine,0
Eden,12
Lane,97
Kyra,0
Deloris,0
Ronda,0
Jeannie,0
Ciara,0
Bettie,0
Kira,0
Kaiden,98
Terrell,100
Jasper,100
Pam,0
Francine,0
Lesley,4
Diamond,2
Clay,100
Mollie,0
Patrice,0
Axel,100
Marina,0
Melba,0
Kameron,93
Moses,100
Eliana,0
Tatiana,0
Dawson,100
Cayden,97
Marisol,0
Mayra,1
Beau,100
Sheldon,100
Alisa,0
Jude,98
Corbin,100
Sallie,0
Laila,0
Tracie,0
Tia,0
Therese,0
Drake,100
Cleo,25
Rachelle,0
Ashleigh,0
Marty,95
Bennett,99
Adele,0
Janine,0
Terence,100
Rodolfo,100
Darin,100
Mack,100
Lucinda,0
Ali,76
Chelsey,0
Asia,0
Keri,0
Paris,16
Christa,0
Reba,0
