name,male_percent
hayrunnisa,0
ziver,88
gulter,0
saha,0
goksal,94
taybet,0
efkan,100
ansa,0
ayni,0
mahbup,0
nesli,0
emeti,0
goknur,0
nure,0
zumrete,0
kumri,0
peyruze,0
minire,0
maide,0
gencay,96
timucin,100
nura,0
cemali,97
duruye,0
devran,61
tansu,80
abdusselam,100
sadika,0
zemine,0
nergul,0
altin,0
beser,6
nurdagul,0
akkadin,0
ulger,0
didar,0
canip,100
mavis,0
surmeli,50
yetkin,93
gulli,0
hayal,0
fetullah,100
faris,100
sevin,0
taliye,0
cabbar,100
sudiye,0
ummahani,0
emirhan,95
mesrure,0
seracettin,100
sonnur,0
sayeste,0
sumer,41
sahinder,0
sadriye,0
nilgul,0
nurdogan,70
cenan,49
dicle,5
seren,9
ekin,42
durna,0
merdiye,0
cesminaz,0
bahire,0
ismi,0
gunsel,0
nazir,100
aytan,4
rumeysa,0
oral,100
kucuk,66
sahap,100
gulsemin,0
susan,0
reha,92
remezan,100
methiye,0
mulkinaz,0
ahsen,15
sahsine,0
turkmen,19
nami,100
ersel,95
nefiye,0
adul,0
sabiye,0
semir,100
tolgahan,100
rahile,0
korkmaz,100
buse,0
assiye,0
alaittin,100
isak,100
mihdiye,0
erden,93
beyazit,100
rakibe,0
irmak,15
berkant,100
satia,0
duzgun,100
ciler,0
hasene,0
hacice,0
mehdiye,0
selvihan,0
nadi,100
vahdet,100
goksen,15
inanc,83
tunahan,100
feleknaz,0
antika,0
suphan,34
gulbiye,0
ifaket,0
sadiman,0
gunseli,0
sehrinaz,0
sehernaz,0
harbiye,0
ulkiye,0
tahire,0
tayyip,100
serfinaz,0
nebiha,0
taliha,0
nukhet,0
fedime,0
necattin,100
gulnihal,0
esmehan,0
radiye,0
kuddusi,100
ilter,77
selviye,0
selfinaz,0
bisar,100
zabit,100
gulhatun,0
ayvaz,100
sabah,32
sila,0
vezir,100
saibe,0
saray,0
yasare,0
sih,100
emetullah,0
sahure,0
murteza,100
idil,0
rihan,0
meziyet,0
muhibe,0
nesimi,100
ayda,0
abdulcebbar,100
tijen,0
sabir,45
vatha,0
sekure,0
helime,0
keramettin,100
zikri,100
dursiye,0
malike,0
ilke,25
uygar,100
tekmile,0
dursunali,100
omruye,0
ibis,100
kalender,100
leyli,0
hedle,0
mirza,100
felemez,100
ayyus,0
imihan,0
miyese,0
sirvan,9
mefaret,0
zerin,0
nayime,0
name,0
dilay,0
embiye,0
kibariye,0
safi,91
hurrem,56
fezile,0
feramuz,100
sakin,94
cenap,100
fadimeana,0
gulhizar,0
semseddin,100
berin,0
bilsen,0
bakir,100
akife,0
digdem,0
asur,91
peruze,0
ozel,67
meskure,0
ramize,0
suheda,0
sedrettin,100
asaf,100
semine,0
kibriye,0
zehni,100
beril,0
temam,0
hori,0
kiyafet,0
hicret,23
nulifer,0
reis,100
nebat,0
aysa,0
adife,0
agit,100
hunkar,38
tayibe,0
beste,0
alperen,100
imhan,0
nargul,0
murad,100
asime,0
semira,0
mulayim,84
feyruz,21
ustun,90
rizvan,96
mulla,93
nesip,100
huriyet,8
tursun,53
gulayse,0
rengin,0
zilfi,8
amse,0
siyami,100
diler,9
sevde,0
salise,0
sanem,0
gulsenem,0
bengul,0
bahaettin,100
vehbiye,0
sebat,6
ediz,100
alihan,100
gokben,0
avas,0
oksan,7
yekta,71
adiguzel,94
nebihe,0
badegul,0
gogercin,0
yetis,96
arafat,100
raside,0
sakip,100
fecriye,0
nurgun,4
ziyaettin,100
sahsene,0
muzeyen,0
turabi,100
abdurrezak,100
talia,0
nurtac,15
zerga,0
ilmiye,0
nisa,0
akide,0
nezife,0
feruze,0
cumaali,100
mebrure,0
aga,100
bahtisen,0
askeri,100
akan,100
siracettin,100
fatmanur,0
zekeriyya,100
gafure,0
hatime,0
mehmed,100
sani,95
fatmaana,0
abdulmutalip,100
aykan,96
devris,100
aysedudu,0
hasime,0
anis,0
selahettin,100
elfide,0
selcen,0
hulisi,100
haki,100
temur,100
durcan,10
hanimi,0
sefike,0
mehpare,0
agah,100
yayla,7
kasif,100
giray,100
berrak,0
siho,100
guldeste,0
cihad,100
nariye,0
ummus,0
maviye,0
tefik,100
neziye,0
